rank;uri;artist_names;track_name;source;peak_rank;previous_rank;weeks_on_chart;streams
1;spotify:track:5S9Zs5g9lTWnLIboN1pdlU;Lauren Spencer Smith;Fingers Crossed;Three Name Productions, Inc./ Island Records & Republic Records;1;1;4;601777
2;spotify:track:4fouWK6XVHhzl78KzQ1UjL;GAYLE;abcdefu;Atlantic/Arthouse Records;1;2;13;477475
3;spotify:track:2Sn1bb7wGN1ZQFMpgkb0Y6;TIX, Hver gang vi møtes;Jente i Oslo;Universal Music AS;3;4;5;463244
4;spotify:track:01yhPS4Pn3chM0sc3gcs6B;Anna of the North, Hver gang vi møtes;Shotgun;WM Norway;2;3;4;433575
5;spotify:track:1r9xUipOqoNwggBpENDsvJ;Imagine Dragons, JID, Arcane, League of Legends;Enemy (with JID) - from the series Arcane League of Legends;KIDinaKORNER/Interscope Records;5;7;13;431623
6;spotify:track:2KnLkZ3z7PO3kgVGHGqDpD;Shawn Mendes;It'll Be Okay;Shawn Mendes LP4-5 PS/ Island;5;6;8;430269
7;spotify:track:46IZ0fSY2mpAiktS3KOqds;Adele;Easy On Me;Columbia;1;5;15;398592
8;spotify:track:6uD9bwAyCMeKmf5xr2WDRa;Chris Holsten;Høyt over havet;WM Norway;8;-1;1;396425
9;spotify:track:2USlegnFJLrVLpoVfPimKB;Gabry Ponte, LUM!X, Prezioso;Thunder;Spinnin' Records;5;11;33;377528
10;spotify:track:18asYwWugKjjsihZ0YvRxO;Tiësto, Ava Max;The Motto;Atlantic Records;10;13;12;369232
11;spotify:track:1BSMpVGWs3v5BZKnAQziAc;Charlie Puth;Light Switch;Atlantic Records;11;-1;1;362617
12;spotify:track:02MWAaffLxlfxAUY7c5dvx;Glass Animals;Heat Waves;Polydor Records;1;8;62;362062
13;spotify:track:1GGk3Q73VX2eBLQ2Yp5Kr2;Martine Lunde, Norges Nye Megahit;Fuckboy;All In/GG Music;3;9;8;336616
14;spotify:track:7rglLriMNBPAyuJOMGwi39;Elton John, Dua Lipa, PNAU;Cold Heart - PNAU Remix;EMI;8;12;24;334968
15;spotify:track:4olmG0sFJ6L0LVI8ssiZFz;vinni;glorie;MER Recordings AS;15;32;7;330291
16;spotify:track:1SOClUWhOi8vHZYMz3GluK;Jaymes Young;Infinity;Atlantic Records;15;15;13;318764
17;spotify:track:3uUuGVFu1V7jTQL60S1r8z;Lost Frequencies, Calum Scott;Where Are You Now;Epic Amsterdam;8;16;26;315230
18;spotify:track:5PjdY0CKGZdEuoNab3yDmX;The Kid LAROI, Justin Bieber;STAY (with Justin Bieber);Columbia;1;17;29;313517
19;spotify:track:135Lf4Q0CzlMNfOxbEUsLH;Benson Boone;GHOST TOWN;Night Street Records, Inc./Warner Records Inc.;1;18;15;307782
20;spotify:track:6gPPoRYJwCsoB2VVdPJfmo;David Kushner;Miserable Man;David Kushner;10;10;3;300720
21;spotify:track:3IVkcYvMiqvRKa4ip0E7a8;Ballinciaga, Kevin Lauren;Loud Luxury 2022;Virgin Music Label And Artist Services;3;20;16;296271
22;spotify:track:50nfwKoDiSYg8zOCREWAm5;Ed Sheeran;Shivers;Atlantic Records UK;3;21;20;290062
23;spotify:track:2Y7npn076wSZJgH8HVr2B2;Halva Priset, Maria Mena;Den fineste Chevy'n (feat. Maria Mena);All In/GG Music;1;23;48;284920
24;spotify:track:2bSVFkcYAQwkGlGK7v1Ihl;Chris Holsten;Smilet i ditt eget speil;WM Norway;5;24;46;283626
25;spotify:track:2B4GHvToeLTOBB4QLzW3Ni;Farruko;Pepas;Sony Music Latin;19;22;23;282040
26;spotify:track:1nH2PkJL1XoUq8oE6tBZoU;The Weeknd;Sacrifice;XO / Republic Records;7;14;3;264670
27;spotify:track:2gpWyfu7eZ01zzncHpxOtA;Swedish House Mafia, The Weeknd;Moth To A Flame (with The Weeknd);Republic Records;6;27;14;250862
28;spotify:track:2mtC4zyp4Dn3GaoGonrWax;Morgan Sulele;Da det var oss;RCA Records Label;28;-1;1;245988
